 [2021-08-06 12:44:02,753] INFO : DRP module CICMTS, version 0.2.3
 [2021-08-06 12:44:02,753] ERROR : Specified database file /Users/carlj/Developer/Dome/DomeReports-2021/dome-reports/db/drp.db does not exist.
 [2021-08-06 12:45:40,354] INFO : DRP module CICMTS, version 0.2.3
 [2021-08-06 12:45:40,355] INFO : Using database file /Users/carlj/Developer/Dome/DomeReports-2021/dome-reports/db/drp-prod.db
 [2021-08-06 12:45:40,355] INFO : starting data ingest
 [2021-08-06 12:45:40,355] INFO : ingest file dir: /Users/carlj/Developer/Dome/DomeReports-2021/dome-reports/r_cicmts/data_in
 [2021-08-06 12:45:40,356] ERROR : Error validating data ingest files: No files to process in data_in 
 [2021-08-06 12:46:27,922] INFO : DRP module CICMTS, version 0.2.3
 [2021-08-06 12:46:27,922] INFO : Using database file /Users/carlj/Developer/Dome/DomeReports-2021/dome-reports/db/drp-prod.db
 [2021-08-06 12:46:27,923] INFO : Skipping data ingest
 [2021-08-06 12:46:27,923] INFO : Starting report generation
 [2021-08-06 12:46:27,938] INFO : created: dome-cicmts-202108.txt
 [2021-08-06 12:46:27,943] INFO : created: dome-cicmts-202108.html
 [2021-08-06 12:46:27,986] INFO : created report: dome-cicmts-202108.xlsx
 [2021-08-06 12:46:28,035] INFO : End of DRP CICMTS run
 [2021-09-24 22:20:44,392] INFO : DRP module CICMTS, version 0.2.3
 [2021-09-24 22:20:44,395] INFO : Using database file /Users/carlj/Developer/Dome/DomeReports-2021-new/dome-reports/db/drp-prod.db
 [2021-09-24 22:20:44,395] INFO : starting data ingest
 [2021-09-24 22:20:44,396] INFO : ingest file dir: /Users/carlj/Developer/Dome/DomeReports-2021-new/dome-reports/r_cicmts/data_in
 [2021-09-24 22:20:44,398] ERROR : Error validating data ingest files: No files to process in data_in 
 [2021-09-26 22:19:30,043] INFO : DRP module CICMTS, version 0.2.3
 [2021-09-26 22:19:30,044] INFO : Using database file /Users/carlj/Developer/Dome/DomeReports-2021-new/dome-reports/db/drp-prod.db
 [2021-09-26 22:19:30,046] INFO : starting data ingest
 [2021-09-26 22:19:30,046] INFO : ingest file dir: /Users/carlj/Developer/Dome/DomeReports-2021-new/dome-reports/r_cicmts/data_in
 [2021-09-26 22:19:30,048] INFO : ingesting file: comm-2109.csv
 [2021-09-26 22:19:30,057] INFO : Count of added rows to Community: 0
 [2021-09-26 22:19:30,058] INFO : Processed comm-2109.csv with 0 new rows added
 [2021-09-26 22:19:30,059] INFO : moved comm-2109.csv to completed directory
 [2021-09-26 22:19:30,059] INFO : ingesting file: coll-2109.csv
 [2021-09-26 22:19:30,068] INFO : Count of added rows to Collection: 23
 [2021-09-26 22:19:30,069] INFO : Processed coll-2109.csv with 23 new rows added
 [2021-09-26 22:19:30,070] INFO : moved coll-2109.csv to completed directory
 [2021-09-26 22:19:30,070] INFO : ingesting file: itct-2109.csv
 [2021-09-26 22:19:30,080] INFO : moved itct-2109.csv to completed directory
 [2021-09-26 22:19:30,080] INFO : Ingest complete
 [2021-09-26 22:19:30,080] INFO : Starting report generation
 [2021-09-26 22:19:30,111] INFO : created: dome-cicmts-202109.txt
 [2021-09-26 22:19:30,126] INFO : created: dome-cicmts-202109.html
 [2021-09-26 22:19:30,174] INFO : created report: dome-cicmts-202109.xlsx
 [2021-09-26 22:19:30,226] INFO : End of DRP CICMTS run
 [2021-09-27 18:39:16,309] INFO : DRP module CICMTS, version 0.2.3
 [2021-09-27 18:39:16,309] INFO : Using database file /Users/carlj/Developer/Dome/DomeReports-2021-new/dome-reports/db/drp-prod.db
 [2021-09-27 18:39:16,310] INFO : starting data ingest
