b8cb6a38-248f-4817-899c-458bcf16986d|Perceptual Form of the City|Perceptual Form of the City|1721.3/33655
28f35db9-ecd5-478f-9dd0-b2fd8b8d5ba3|MIT Communications Forum|MIT Communications Forum|1721.3/36880
dda5a985-5b59-4d6f-9e25-beb239f0dcfc|Project Whirlwind|Project Whirlwind|1721.3/37455
2cb99bd8-efae-427b-82f5-349fb8943e76|David Taylor Model Basin|David Taylor Model Basin|1721.3/48000
a703e5d9-a7e9-4cd3-aca7-c7edba2233d8|"Inventions of Note" Sheet Music Collection|"Inventions of Note" Sheet Music Collection|1721.3/188938
58828528-545f-4827-8c43-3f863b43f280|Distinctive Collections|Distinctive Collections|1721.3/58930
17163cf2-9241-4650-bfa5-4b3343b074e5|Charles J. Connick Stained Glass Foundation Collection|Charles J. Connick Stained Glass Foundation Collection|1721.3/74802
c7504f72-f074-4ada-8245-52639f16a9c3|Visual Collections|Visual Collections|1721.3/1
c7f4dcf9-81fb-4b82-a4f9-3722b6adc3dc|Early Electricity and Transportation Journals|Early Electricity and Transportation Journals|1721.3/82821
385930d9-6071-47ee-9e06-6556227253b5|Electronic Literature Organization|Electronic Literature Organization|1721.3/129916
09969ff8-da37-4ef3-8190-33de941ed952|Fundamentals of Soil Mechanics|Fundamentals of Soil Mechanics|1721.3/148788
5790951e-31c4-4e89-a8fb-7f34a246d043|Early MIT Department of Architecture Journals|Early MIT Department of Architecture Journals|1721.3/173541
07278c2f-16d3-4a75-8053-ff92988324bf|The MIT Electronic Journal of Middle East Studies|The MIT Electronic Journal of Middle East Studies|1721.3/176482
96103c9b-78ae-487e-830a-25d6a82fc183|Research and Writings from our Collections|Research and Writings from our Collections|1721.3/189263
